,Before This Point,On This Day,After This Point
36w0d,2.5%,0.2%,97.3%
36w1d,2.7%,0.2%,97.1%
36w2d,2.9%,0.2%,96.9%
36w3d,3.1%,0.2%,96.7%
36w4d,3.3%,0.2%,96.5%
36w5d,3.5%,0.3%,96.2%
36w6d,3.8%,0.3%,95.9%
37w0d,4.1%,0.3%,95.6%
37w1d,4.4%,0.3%,95.3%
37w2d,4.7%,0.3%,95.0%
37w3d,5.0%,0.4%,94.6%
37w4d,5.4%,0.4%,94.2%
37w5d,5.8%,0.4%,93.8%
37w6d,6.2%,0.5%,93.3%
38w0d,6.7%,0.5%,92.8%
38w1d,7.6%,0.6%,91.8%
38w2d,8.6%,0.6%,90.8%
38w3d,9.7%,0.7%,89.6%
38w4d,10.9%,0.7%,88.4%
38w5d,12.2%,0.8%,87.0%
38w6d,13.6%,0.9%,85.5%
39w0d,15.1%,1.0%,83.9%
39w1d,16.7%,1.1%,82.2%
39w2d,18.4%,1.2%,80.4%
39w3d,20.3%,1.3%,78.4%
39w4d,22.4%,1.4%,76.2%
39w5d,24.7%,1.5%,73.8%
39w6d,27.2%,1.6%,71.2%
40w0d,30.0%,1.8%,68.2%
40w1d,33.2%,2.0%,64.8%
40w2d,36.7%,2.2%,61.1%
40w3d,40.4%,2.3%,57.3%
40w4d,44.5%,2.4%,53.1%
40w5d,50.0%,2.5%,47.5%
40w6d,56.25%,2.7%,41.05%
41w0d,62.5%,2.9%,34.6%
41w1d,68.75%,3.1%,28.15%
41w2d,75.0%,3.0%,22.0%
41w3d,78.0%,2.8%,19.2%
41w4d,80.8%,2.7%,16.5%
41w5d,83.5%,2.4%,14.1%
41w6d,85.9%,2.2%,11.9%
42w0d,88.1%,1.9%,10.0%
42w1d,90.0%,1.7%,8.3%
42w2d,91.7%,1.5%,6.8%
42w3d,93.2%,1.3%,5.5%
42w4d,94.5%,1.1%,4.4%
42w5d,95.6%,0.9%,3.5%
42w6d,96.5%,0.8%,2.7%
43w0d,97.3%,0.7%,2.0% 
