,Before This Point,On This Day,After This Point
37w0d,2.1%,0.8%,95.0%
37w1d,3.6%,0.8%,94.2%
37w2d,5.8%,0.8%,93.4%
37w3d,6.6%,0.8%,92.6%
37w4d,7.4%,0.8%,91.8%
37w5d,8.1%,0.9%,91.0%
37w6d,9.1%,1.1%,89.8%
38w0d,10.2%,1.2%,88.6%
38w1d,11.4%,1.2%,87.4%
38w2d,12.6%,1.2%,86.2%
38w3d,13.5%,1.5%,85.0%
38w4d,15.3%,1.7%,83.0%
38w5d,17.0%,2.0%,81.0%
38w6d,19.0%,2.0%,79.0%
39w0d,21.0%,2.0%,77.0%
39w1d,23.0%,2.0%,75.0%
39w2d,25.0%,2.1%,72.9%
39w3d,27.1%,2.3%,70.6%
39w4d,29.6%,2.6%,67.8%
39w5d,32.3%,3.0%,64.7%
39w6d,35.4%,3.3%,61.3%
40w0d,38.8%,3.7%,57.5%
40w1d,42.5%,4.0%,53.5%
40w2d,46.5%,4.4%,49.1%
40w3d,50.9%,4.7%,44.4%
40w4d,55.6%,5.0%,39.4%
40w5d,60.6%,5.5%,33.9%
40w6d,66.1%,5.7%,28.2%
41w0d,71.8%,4.8%,23.4%
41w1d,76.6%,3.9%,19.5%
41w2d,80.5%,3.1%,16.4%
41w3d,83.6%,2.7%,13.7%
41w4d,86.3%,2.3%,11.4%
41w5d,88.6%,1.9%,9.5%
41w6d,90.5%,1.5%,8.0%
42w0d,92.0%,1.3%,6.7%
42w1d,93.3%,1.1%,5.6%
42w2d,94.4%,0.9%,4.7%
42w3d,95.3%,0.7%,4.0%
42w4d,96.0%,0.6%,3.4%
42w5d,96.6%,0.5%,2.9%
42w6d,97.1%,0.5%,2.4%
43w0d,97.6%,0.4%,2.0%
